data
"{'date': '2023-10-10', 'implied_volatility': '0.2493121', 'price': '178.39', 'realized_volatility': '0.186415970807325008182172690986092610282680238416467754'}"
"{'date': '2023-10-11', 'implied_volatility': '0.24711663', 'price': '179.80', 'realized_volatility': '0.187259072889228452227163084976596794247249301947377641'}"
"{'date': '2023-10-12', 'implied_volatility': '0.25357887', 'price': '180.71', 'realized_volatility': '0.185485940592490877203496000963745722410507990631964701'}"
"{'date': '2023-10-13', 'implied_volatility': '0.26356706', 'price': '178.85', 'realized_volatility': '0.198704203939487744493393856044042598837242036533559083'}"
"{'date': '2023-10-16', 'implied_volatility': '0.25959706', 'price': '178.72', 'realized_volatility': '0.197851465965028895644952248883895803166417535017884489'}"
"{'date': '2023-10-17', 'implied_volatility': '0.27395505', 'price': '177.15', 'realized_volatility': '0.203846276393818861784840508184301542169011107855412713'}"
"{'date': '2023-10-18', 'implied_volatility': '0.28212324', 'price': '175.84', 'realized_volatility': '0.201665448293174715606934647476955545989877530149637293'}"
"{'date': '2023-10-19', 'implied_volatility': '0.2897944', 'price': '175.46', 'realized_volatility': '0.202333936388378033428839074930837524422350164376231684'}"
"{'date': '2023-10-20', 'implied_volatility': '0.29170603', 'price': '172.88', 'realized_volatility': '0.202188427817918136906430807792657125456776043870459148'}"
"{'date': '2023-10-23', 'implied_volatility': '0.27271729649278853', 'price': '173', 'realized_volatility': '0.198011112582021092897277920006688282461970142726713443'}"
"{'date': '2023-10-24', 'implied_volatility': '0.268226706745919', 'price': '173.44', 'realized_volatility': '0.198540520990633455790446541459661741938681726023458330'}"
"{'date': '2023-10-25', 'implied_volatility': '0.2995294473346795', 'price': '171.10', 'realized_volatility': '0.198774407621119317522810113940163960102408830801406772'}"
"{'date': '2023-10-26', 'implied_volatility': '0.3166242530222625', 'price': '166.89', 'realized_volatility': '0.194559176983278540405033870792961268370720194225768344'}"
"{'date': '2023-10-27', 'implied_volatility': '0.2902656292343485', 'price': '168.22', 'realized_volatility': '0.173891624426967875150197133172787051703212083982276464'}"
"{'date': '2023-10-30', 'implied_volatility': '0.290782115640377', 'price': '170.29', 'realized_volatility': '0.171945553140325926386164562240432902970541399722143664'}"
"{'date': '2023-10-31', 'implied_volatility': '0.283269175659097', 'price': '170.77', 'realized_volatility': '0.167741767516331562061290555695654630608108366098476394'}"
"{'date': '2023-11-01', 'implied_volatility': '0.254996234871473', 'price': '173.97', 'realized_volatility': '0.167970817590325733099891339369253884628687035873506332'}"
"{'date': '2023-11-02', 'implied_volatility': '0.2456470233308695', 'price': '177.57', 'realized_volatility': '0.156905805969061709828944599266965026848179068405646883'}"
"{'date': '2023-11-03', 'implied_volatility': '0.1975160593735816', 'price': '176.65', 'realized_volatility': '0.141738825886936401634868156657503670170545839968665647'}"
"{'date': '2023-11-06', 'implied_volatility': '0.1864709751978009', 'price': '179.23', 'realized_volatility': '0.158050560203942499415574917277870173837293733187681067'}"
"{'date': '2023-11-07', 'implied_volatility': '0.19281120959858786', 'price': '181.82', 'realized_volatility': '0.150451125923091099370872319420456289899585806480172603'}"
"{'date': '2023-11-08', 'implied_volatility': '0.17191368138588825', 'price': '182.89', 'realized_volatility': '0.145989875900128576579807470161947831525131847638037565'}"
"{'date': '2023-11-09', 'implied_volatility': '0.19484730210603524', 'price': '182.41', 'realized_volatility': '0.146699757790365163121223983562551168947930142537603633'}"
"{'date': '2023-11-10', 'implied_volatility': '0.17901705854711436', 'price': '186.40', 'realized_volatility': '0.152833230636957707161845652012213069849297953695875927'}"
"{'date': '2023-11-13', 'implied_volatility': '0.18508197037408858', 'price': '184.80', 'realized_volatility': '0.136564549853848231813113994652706362716915856996506070'}"
"{'date': '2023-11-14', 'implied_volatility': '0.1640155382143463', 'price': '187.44', 'realized_volatility': '0.144153553887874661372509203583095710446327725129719760'}"
"{'date': '2023-11-15', 'implied_volatility': '0.16441014464733628', 'price': '188.01', 'realized_volatility': '0.135561220186797234906138186649190985309900493330127267'}"
"{'date': '2023-11-16', 'implied_volatility': '0.175713550770198', 'price': '189.71', 'realized_volatility': '0.136217866428035033607482859054170034298557199237665561'}"
"{'date': '2023-11-17', 'implied_volatility': '0.17076001435683874', 'price': '189.69', 'realized_volatility': '0.135860623993980286686317012294114641132735658130583523'}"
"{'date': '2023-11-20', 'implied_volatility': '0.17169240166262814', 'price': '191.45', 'realized_volatility': '0.137092161857898161498485185637941874526453149050706200'}"
"{'date': '2023-11-21', 'implied_volatility': '0.16618841349287905', 'price': '190.64', 'realized_volatility': '0.137871154164603735609240668906773359846249215015796804'}"
"{'date': '2023-11-22', 'implied_volatility': '0.164068690704316', 'price': '191.31', 'realized_volatility': '0.137116152808751750688857550565980887662214325783801877'}"
"{'date': '2023-11-24', 'implied_volatility': '0.16172634803147784', 'price': '189.97', 'realized_volatility': '0.137929347672900208203173255476778524507905528025019325'}"
"{'date': '2023-11-27', 'implied_volatility': '0.1605760167474513', 'price': '189.79', 'realized_volatility': '0.136185083223329382224499328730714150315235260319757459'}"
"{'date': '2023-11-28', 'implied_volatility': '0.16056664855662245', 'price': '190.40', 'realized_volatility': '0.136148009551194896430182637134312458078019752696242298'}"
"{'date': '2023-11-29', 'implied_volatility': '0.1599473575110685', 'price': '189.37', 'realized_volatility': '0.136060850274570123453430872280181167494055699420447114'}"
"{'date': '2023-11-30', 'implied_volatility': '0.1596428626002161', 'price': '189.95', 'realized_volatility': '0.136067097866946456432342633307146730434040981198723295'}"
"{'date': '2023-12-01', 'implied_volatility': '0.16121172603983455', 'price': '191.24', 'realized_volatility': '0.185156745219008381146879541747605044736816412671134610'}"
"{'date': '2023-12-04', 'implied_volatility': '0.16282100222081042', 'price': '189.43', 'realized_volatility': '0.185525217711102905986583251290921458811755464208620773'}"
"{'date': '2023-12-05', 'implied_volatility': '0.15960066439063592', 'price': '193.42', 'realized_volatility': '0.187856307554134337634533240984148822224378380495041242'}"
"{'date': '2023-12-06', 'implied_volatility': '0.17290662112092037', 'price': '192.32', 'realized_volatility': '0.174078766712695978305990592102404140640351756672522730'}"
"{'date': '2023-12-07', 'implied_volatility': '0.1604823261641096', 'price': '194.27', 'realized_volatility': '0.191605710405145777879868237082886670352097592621760198'}"
"{'date': '2023-12-08', 'implied_volatility': '0.1578638203853996', 'price': '195.71', 'realized_volatility': '0.188766365011938449351102220108465511161439833543404504'}"
"{'date': '2023-12-11', 'implied_volatility': '0.1617468757383069', 'price': '193.18', 'realized_volatility': '0.188001261485510741000286295808101928582613059535178253'}"
"{'date': '2023-12-12', 'implied_volatility': '0.1568418394227151', 'price': '194.71', 'realized_volatility': '0.183188229442907248327047902470647766451592431347503798'}"
"{'date': '2023-12-13', 'implied_volatility': '0.14910144648672635', 'price': '197.96', 'realized_volatility': '0.181388401835780753002914685254378856249650688972786879'}"
"{'date': '2023-12-14', 'implied_volatility': '0.2805272922904445', 'price': '198.11', 'realized_volatility': '0.178054097644936001250910917426708261007324191536664829'}"
"{'date': '2023-12-15', 'implied_volatility': '0.1655396547307488', 'price': '197.57', 'realized_volatility': '0.178908590602645702791371099040306488487829800413527382'}"
"{'date': '2023-12-18', 'implied_volatility': '0.16594937552885863', 'price': '195.89', 'realized_volatility': '0.210751952746809913555243603405582367050734596219061403'}"
"{'date': '2023-12-19', 'implied_volatility': '0.16161782866457913', 'price': '196.94', 'realized_volatility': '0.215122133476240762909823810857527570059829748885212306'}"
"{'date': '2023-12-20', 'implied_volatility': '0.171208875164978', 'price': '194.83', 'realized_volatility': '0.218323769619867171525472979492089922134113931502205501'}"
"{'date': '2023-12-21', 'implied_volatility': '0.1444097229608769', 'price': '194.68', 'realized_volatility': '0.216617401932838604488118823063349623275795563372612672'}"
"{'date': '2023-12-22', 'implied_volatility': '0.1760508527966243', 'price': '193.60', 'realized_volatility': '0.216966288293378316614032669131877572577480407732477315'}"
"{'date': '2023-12-26', 'implied_volatility': '0.1713526073323201', 'price': '193.05', 'realized_volatility': '0.216184043675978858316923911310524884527197608181203131'}"
"{'date': '2023-12-27', 'implied_volatility': '0.17262025937745412', 'price': '193.15', 'realized_volatility': '0.218685737987231535898565570866361132695823580534512240'}"
"{'date': '2023-12-28', 'implied_volatility': '0.16664916972800436', 'price': '193.58', 'realized_volatility': '0.219002050411107266989315068589431043180757325666018137'}"
"{'date': '2023-12-29', 'implied_volatility': '0.1589640326973479', 'price': '192.53', 'realized_volatility': '0.228985704000586678910011643929073301950336528825883093'}"
"{'date': '2024-01-02', 'implied_volatility': '0.23591118307893072', 'price': '185.64', 'realized_volatility': '0.237591593214995001941597475527086209671373859870226597'}"
"{'date': '2024-01-03', 'implied_volatility': '0.2317909969468009', 'price': '184.25', 'realized_volatility': '0.206488503073898798295270003716768569610304563611315938'}"
"{'date': '2024-01-04', 'implied_volatility': '0.248954593659299', 'price': '181.91', 'realized_volatility': '0.205716259682969955996529910342075077891548758635530859'}"
"{'date': '2024-01-05', 'implied_volatility': '0.2410810923003359', 'price': '181.18', 'realized_volatility': '0.203939283353488548512106414742915965041979441601107321'}"
"{'date': '2024-01-08', 'implied_volatility': '0.22956613145163351', 'price': '185.56', 'realized_volatility': '0.205392701596666953263979779614817992236113458092927012'}"
"{'date': '2024-01-09', 'implied_volatility': '0.2307927307319692', 'price': '185.14', 'realized_volatility': '0.18815482486552511023907860687028152750935333467709345667'}"
