data
"{'date': '2023-10-10', 'implied_volatility': '0.50950706', 'price': '109.01', 'realized_volatility': '0.478021862614717453886028302504788291389526332569806665'}"
"{'date': '2023-10-11', 'implied_volatility': '0.5072554', 'price': '108.31', 'realized_volatility': '0.473627923395108912967195708791146791488320646227512129'}"
"{'date': '2023-10-12', 'implied_volatility': '0.5080792', 'price': '108.79', 'realized_volatility': '0.473126702962127120329001818567626461236267170785376488'}"
"{'date': '2023-10-13', 'implied_volatility': '0.53009045', 'price': '105.09', 'realized_volatility': '0.496800731053797447401926761244995557430587067275162090'}"
"{'date': '2023-10-16', 'implied_volatility': '0.51353633', 'price': '106.46', 'realized_volatility': '0.485107403904885883701555039748805286481502104078679918'}"
"{'date': '2023-10-17', 'implied_volatility': '0.51579094', 'price': '105.14', 'realized_volatility': '0.491723262196095932039455169732857293536458323567466979'}"
"{'date': '2023-10-18', 'implied_volatility': '0.54230434', 'price': '102.17', 'realized_volatility': '0.492899949535376959847056856801342254321974493521020571'}"
"{'date': '2023-10-19', 'implied_volatility': '0.52969635', 'price': '102.40', 'realized_volatility': '0.485984720783103374503586543820115092397697850493523159'}"
"{'date': '2023-10-20', 'implied_volatility': '0.55006677', 'price': '101.81', 'realized_volatility': '0.486460452206758797736854347320986854224720040725456040'}"
"{'date': '2023-10-23', 'implied_volatility': '0.538815722703132', 'price': '100.01', 'realized_volatility': '0.486745298026925968925892953892449864124681361550885154'}"
"{'date': '2023-10-24', 'implied_volatility': '0.52839733391919', 'price': '101.67', 'realized_volatility': '0.487690443108692618567416997750491289401416394581006544'}"
"{'date': '2023-10-25', 'implied_volatility': '0.557238565217693', 'price': '96.055', 'realized_volatility': '0.493653878225024082554440686052407822842839064256351658'}"
"{'date': '2023-10-26', 'implied_volatility': '0.5729968650817354', 'price': '93.67', 'realized_volatility': '0.453152006911866041829360516729267416515528386995529234'}"
"{'date': '2023-10-27', 'implied_volatility': '0.5498988363926764', 'price': '96.43', 'realized_volatility': '0.444514626900087332720548223935045218920134556145844637'}"
"{'date': '2023-10-30', 'implied_volatility': '0.541592860592097', 'price': '96.18', 'realized_volatility': '0.433098273212103941346412129053700004381012497967894992'}"
"{'date': '2023-10-31', 'implied_volatility': '0.5282176101077005', 'price': '98.50', 'realized_volatility': '0.436049755819142728664638804580860597938193046203774777'}"
"{'date': '2023-11-01', 'implied_volatility': '0.42106435392909203', 'price': '108.04', 'realized_volatility': '0.435005662063725215353537911178964031960060065300220783'}"
"{'date': '2023-11-02', 'implied_volatility': '0.4031677651025935', 'price': '107.83', 'realized_volatility': '0.294445125000349058047653961038754568147570058789765924'}"
"{'date': '2023-11-03', 'implied_volatility': '0.3810550399260665', 'price': '112.25', 'realized_volatility': '0.305189091786585989488442884042296233407274291886751251'}"
"{'date': '2023-11-06', 'implied_volatility': '0.4203806882582385', 'price': '111.75', 'realized_volatility': '0.271207528939842681150423276049125042214439016723266693'}"
"{'date': '2023-11-07', 'implied_volatility': '0.42262740738857096', 'price': '113.45', 'realized_volatility': '0.274993068631731358554341913107407802376646784532819090'}"
