data
"{'date': '2023-10-10', 'implied_volatility': '0.28429157', 'price': '328.39', 'realized_volatility': '0.240073318815957074856209298035099607933685465166952910'}"
"{'date': '2023-10-11', 'implied_volatility': '0.2737308', 'price': '332.42', 'realized_volatility': '0.241053006578471947935654119276643777782822284244235807'}"
"{'date': '2023-10-12', 'implied_volatility': '0.28126645', 'price': '331.16', 'realized_volatility': '0.238129026848217033088172903931710071296237604461589611'}"
"{'date': '2023-10-13', 'implied_volatility': '0.29606503', 'price': '327.73', 'realized_volatility': '0.252523223049089943054231480022589524510444391154729237'}"
"{'date': '2023-10-16', 'implied_volatility': '0.2843722', 'price': '332.64', 'realized_volatility': '0.251519347245517675057758598472130102143577993526930713'}"
"{'date': '2023-10-17', 'implied_volatility': '0.28484523', 'price': '332.06', 'realized_volatility': '0.248649093770662868061993426067808084735364252892910292'}"
"{'date': '2023-10-18', 'implied_volatility': '0.30407906', 'price': '330.11', 'realized_volatility': '0.248603416119294514394714225627584296536662739961043710'}"
"{'date': '2023-10-19', 'implied_volatility': '0.31701183', 'price': '331.32', 'realized_volatility': '0.255016152320379837215525136882859196278835468774731136'}"
"{'date': '2023-10-20', 'implied_volatility': '0.3201872', 'price': '326.67', 'realized_volatility': '0.261313497979604948613830546406573796370658647981209608'}"
"{'date': '2023-10-23', 'implied_volatility': '0.3010878705935815', 'price': '329.32', 'realized_volatility': '0.266420957736310901826688486920964778709922511069556218'}"
"{'date': '2023-10-24', 'implied_volatility': '0.3034887405122355', 'price': '330.53', 'realized_volatility': '0.268000418508786296825872759351603468995952842242516752'}"
"{'date': '2023-10-25', 'implied_volatility': '0.256352663490442', 'price': '340.67', 'realized_volatility': '0.271261724981964823795611462537009391699418831646159443'}"
"{'date': '2023-10-26', 'implied_volatility': '0.26749882151599147', 'price': '327.89', 'realized_volatility': '0.250205933277292762882038199129122984805415467682571328'}"
"{'date': '2023-10-27', 'implied_volatility': '0.265422778580802', 'price': '329.81', 'realized_volatility': '0.212102648968024336282172108072945978049060852592571783'}"
"{'date': '2023-10-30', 'implied_volatility': '0.25845109816880696', 'price': '337.31', 'realized_volatility': '0.214284875052030432312282574737185578877612078895371500'}"
"{'date': '2023-10-31', 'implied_volatility': '0.240281827530612', 'price': '338.11', 'realized_volatility': '0.202699630485351397389149763366641503351843089135615272'}"
"{'date': '2023-11-01', 'implied_volatility': '0.22336334396327612', 'price': '346.07', 'realized_volatility': '0.202542168981593670034782653895399297838415013970639297'}"
"{'date': '2023-11-02', 'implied_volatility': '0.20496218138021538', 'price': '348.32', 'realized_volatility': '0.190050976189191553538965699422974600073583515589400177'}"
"{'date': '2023-11-03', 'implied_volatility': '0.18803475023636565', 'price': '352.80', 'realized_volatility': '0.194942948041704508076348722127984562972286266463753712'}"
"{'date': '2023-11-06', 'implied_volatility': '0.19814400709805924', 'price': '356.53', 'realized_volatility': '0.192596429877724430056396709115735310626788028607150882'}"
"{'date': '2023-11-07', 'implied_volatility': '0.19605144631996155', 'price': '360.53', 'realized_volatility': '0.191992746667785121388059799344959133320045021294677619'}"
"{'date': '2023-11-08', 'implied_volatility': '0.19311571621030155', 'price': '363.20', 'realized_volatility': '0.189108554282195600430233724747091417727244427900028315'}"
"{'date': '2023-11-09', 'implied_volatility': '0.20394579327263715', 'price': '360.69', 'realized_volatility': '0.189841555999663148093905017882327091696796993455701364'}"
"{'date': '2023-11-10', 'implied_volatility': '0.198281336359238', 'price': '369.67', 'realized_volatility': '0.190361109251001144164114237859160173505797048265567464'}"
"{'date': '2023-11-13', 'implied_volatility': '0.20701435202457044', 'price': '366.68', 'realized_volatility': '0.172609599117812416438817105676932106202234366948539662'}"
"{'date': '2023-11-14', 'implied_volatility': '0.20052977464023763', 'price': '370.27', 'realized_volatility': '0.17011201173266090849210155019235353665991706677828381614'}"
"{'date': '2023-11-15', 'implied_volatility': '0.19714362628988374', 'price': '369.67', 'realized_volatility': '0.18377529695232432947933704132039109762735070955111715466'}"
"{'date': '2023-11-16', 'implied_volatility': '0.2003695558572644', 'price': '376.17', 'realized_volatility': '0.18652952088147220118822690022901064489637833092504077601'}"
"{'date': '2023-11-17', 'implied_volatility': '0.20420141277422604', 'price': '369.85', 'realized_volatility': '0.17733573867932884699077186478464948883096299637891451783'}"
"{'date': '2023-11-20', 'implied_volatility': '0.20778065782872165', 'price': '377.44', 'realized_volatility': '0.16750867019819303196370139752990438547241850169596361222'}"
"{'date': '2023-11-21', 'implied_volatility': '0.2010432032839825', 'price': '373.07', 'realized_volatility': '0.15349894356769783509051634930139396935650740193584539861'}"
"{'date': '2023-11-22', 'implied_volatility': '0.1895699565661538', 'price': '377.85', 'realized_volatility': '0.15039656695760759791268796018590905510728416594309258621'}"
"{'date': '2023-11-24', 'implied_volatility': '0.18505539251241554', 'price': '377.43', 'realized_volatility': '0.14378735775937095910613117485423201973810001128960371739'}"
"{'date': '2023-11-27', 'implied_volatility': '0.1816987645208311', 'price': '378.61', 'realized_volatility': '0.14372494272499577956125162234381768798159193326390865110'}"
"{'date': '2023-11-28', 'implied_volatility': '0.1792116497732378', 'price': '382.70', 'realized_volatility': '0.14341185168928532477376280809195687630606790737376938584'}"
"{'date': '2023-11-29', 'implied_volatility': '0.18242572172074079', 'price': '378.85', 'realized_volatility': '0.13916862430164619102283043775232508061794103528571760043'}"
"{'date': '2023-11-30', 'implied_volatility': '0.1798397467295481', 'price': '378.91', 'realized_volatility': '0.13486725891578783770178730687705119468030816967141469785'}"
"{'date': '2023-12-01', 'implied_volatility': '0.18295128511757236', 'price': '374.51', 'realized_volatility': '0.14342302774854329801049347696121132267911764208869575771'}"
"{'date': '2023-12-04', 'implied_volatility': '0.1953765474044411', 'price': '369.14', 'realized_volatility': '0.13748910867322285183822476569183243001494493033962452197'}"
"{'date': '2023-12-05', 'implied_volatility': '0.20010552671614265', 'price': '372.52', 'realized_volatility': '0.13089893202450058829846421962598209857863357746017571984'}"
"{'date': '2023-12-06', 'implied_volatility': '0.19399773639725035', 'price': '368.80', 'realized_volatility': '0.12685868602791149478730743784001505375868819915098374117'}"
"{'date': '2023-12-07', 'implied_volatility': '0.194324607295973', 'price': '370.95', 'realized_volatility': '0.13681346782754263097745177640669239713023160561777438645'}"
"{'date': '2023-12-08', 'implied_volatility': '0.1776650702454609', 'price': '374.23', 'realized_volatility': '0.13581923658806424487024252828667781789896951508605307367'}"
"{'date': '2023-12-11', 'implied_volatility': '0.1936749811323635', 'price': '371.30', 'realized_volatility': '0.14620399187544430307936066519704023910819023141932359656'}"
"{'date': '2023-12-12', 'implied_volatility': '0.18117708124088916', 'price': '374.38', 'realized_volatility': '0.14468025921279002836399497529999822591697114728937708499'}"
"{'date': '2023-12-13', 'implied_volatility': '0.18633411209266382', 'price': '374.37', 'realized_volatility': '0.14598839783616324778481713788688259898277092094030132139'}"
"{'date': '2023-12-14', 'implied_volatility': '0.2027759947359572', 'price': '365.93', 'realized_volatility': '0.146951472297798691078977162057945396675783544768523475'}"
"{'date': '2023-12-15', 'implied_volatility': '0.18573678553488443', 'price': '370.73', 'realized_volatility': '0.124979532613231960776888834846808676823954537703212075'}"
"{'date': '2023-12-18', 'implied_volatility': '0.19440109891161567', 'price': '372.65', 'realized_volatility': '0.126818659563433051781472223503539075857107518684035329'}"
"{'date': '2023-12-19', 'implied_volatility': '0.19601004275146094', 'price': '373.26', 'realized_volatility': '0.132313546847462555175147674594754984423756561881298012'}"
"{'date': '2023-12-20', 'implied_volatility': '0.2038533423239376', 'price': '370.62', 'realized_volatility': '0.133521241431086925032150834152310068841996703041583149'}"
"{'date': '2023-12-21', 'implied_volatility': '0.2217265458885385', 'price': '373.54', 'realized_volatility': '0.132675130862338945805486779477413586778434212141878737'}"
"{'date': '2023-12-22', 'implied_volatility': '0.1922485264856169', 'price': '374.58', 'realized_volatility': '0.133985170343241874581502015185781087144075308202751798'}"
"{'date': '2023-12-26', 'implied_volatility': '0.2552651788316235', 'price': '374.66', 'realized_volatility': '0.135333065617461320913009795307711211148416584088933608'}"
"{'date': '2023-12-27', 'implied_volatility': '0.24572840035625054', 'price': '374.07', 'realized_volatility': '0.135537479741988918348608065634828173488287093820604703'}"
"{'date': '2023-12-28', 'implied_volatility': '0.2455858837730675', 'price': '375.28', 'realized_volatility': '0.144162305300896982739869399651425954080234178764734789'}"
"{'date': '2023-12-29', 'implied_volatility': '0.24701896108934102', 'price': '376.04', 'realized_volatility': '0.143845314202986749440599757187285676065189189718843302'}"
"{'date': '2024-01-02', 'implied_volatility': '0.278166783963746', 'price': '370.87', 'realized_volatility': '0.173168054958517555924413394307516647451834061582160583'}"
"{'date': '2024-01-03', 'implied_volatility': '0.27880651384884203', 'price': '370.60', 'realized_volatility': '0.174038404996008618392309312592044882919715122163159709'}"
"{'date': '2024-01-04', 'implied_volatility': '0.2750197347428065', 'price': '367.94', 'realized_volatility': '0.185153557638766686066697996916717860648205655376011000'}"
"{'date': '2024-01-05', 'implied_volatility': '0.2703897868356675', 'price': '367.75', 'realized_volatility': '0.189424269222797588861361419818829983274938941261575759'}"
"{'date': '2024-01-08', 'implied_volatility': '0.2636250069259095', 'price': '374.69', 'realized_volatility': '0.189403061279072246186607488698745737541222906752378974'}"
"{'date': '2024-01-09', 'implied_volatility': '0.263454108555616', 'price': '375.79', 'realized_volatility': '0.193255641401140307465027229213674670752519001611636506'}"
"{'date': '2024-01-10', 'implied_volatility': '0.2609102607776205', 'price': '382.77', 'realized_volatility': '0.19299377506010336624348140070467576441889184444029930107'}"
"{'date': '2024-01-11', 'implied_volatility': '0.2671419570706355', 'price': '384.63', 'realized_volatility': '0.19047213033562991941019841914548944730517769739267954512'}"
"{'date': '2024-01-12', 'implied_volatility': '0.26664373054700496', 'price': '388.47', 'realized_volatility': '0.19453209990759397465433445382087492005170755097238277214'}"
"{'date': '2024-01-16', 'implied_volatility': '0.266156605825169', 'price': '390.27', 'realized_volatility': '0.20498626453118320372330983755830660272622188457234863695'}"
"{'date': '2024-01-17', 'implied_volatility': '0.2704365110878585', 'price': '389.47', 'realized_volatility': '0.20582681287305337846489516761226500019235632389950575263'}"
"{'date': '2024-01-18', 'implied_volatility': '0.2662442444436235', 'price': '393.87', 'realized_volatility': '0.20713621571100622208226330200856311931191220936824604983'}"
"{'date': '2024-01-19', 'implied_volatility': '0.258720072812064', 'price': '398.67', 'realized_volatility': '0.20458783862782852692338084477234190509520748691719448809'}"
"{'date': '2024-01-22', 'implied_volatility': '0.257237295661431', 'price': '396.51', 'realized_volatility': '0.20063984526105993203000304889766598100757380752497901104'}"
"{'date': '2024-01-23', 'implied_volatility': '0.2567336553924795', 'price': '398.90', 'realized_volatility': '0.19984876964890186549311199280287839997336140792569421637'}"
"{'date': '2024-01-24', 'implied_volatility': '0.258749169274925', 'price': '402.56', 'realized_volatility': '0.21416290212700147958370665870668330161283611015556045336'}"
"{'date': '2024-01-25', 'implied_volatility': '0.2711800122541725', 'price': '404.87', 'realized_volatility': '0.21200983835224047439847215731510807535607726891272613959'}"
"{'date': '2024-01-26', 'implied_volatility': '0.2669145744024035', 'price': '403.93', 'realized_volatility': '0.21225768355308786932315412556078927083836271688910757912'}"
"{'date': '2024-01-29', 'implied_volatility': '0.264457436769741', 'price': '409.72', 'realized_volatility': '0.2121238242610207934659574379524148176870044593897120101500'}"
"{'date': '2024-01-30', 'implied_volatility': '0.2752242449226235', 'price': '408.59', 'realized_volatility': '0.2062861156526267735426252866523006565219571305177180041900'}"
"{'date': '2024-01-31', 'implied_volatility': '0.21039838700017985', 'price': '397.58', 'realized_volatility': '0.2115905648754162688754345046435701262768994930138822670805'}"
"{'date': '2024-02-01', 'implied_volatility': '0.1920257066593768', 'price': '403.78', 'realized_volatility': '0.1888707539753342788986658726625043361205438743280162081101'}"
"{'date': '2024-02-02', 'implied_volatility': '0.1872585517043768', 'price': '411.22', 'realized_volatility': '0.1817017701314143249697116405781481692638291648340822607556'}"
"{'date': '2024-02-05', 'implied_volatility': '0.19484916863690044', 'price': '405.65', 'realized_volatility': '0.1988563878426001553591065500391362163298572397065799906559'}"
"{'date': '2024-02-06', 'implied_volatility': '0.18525573606205864', 'price': '405.49', 'realized_volatility': '0.1931895052535084335353020317201002489385899027322139160149'}"
"{'date': '2024-02-07', 'implied_volatility': '0.1816834075802092', 'price': '414.05', 'realized_volatility': '0.2020276144868309741968416157610166526301360017158217232474'}"
"{'date': '2024-02-08', 'implied_volatility': '0.1819907614182632', 'price': '414.11', 'realized_volatility': '0.1903828819095093824925506458089326660336109289824215524354'}"
"{'date': '2024-02-09', 'implied_volatility': '0.18319392300173204', 'price': '420.55', 'realized_volatility': '0.1909360514205051423445562789730653111530836178675130617188'}"
"{'date': '2024-02-12', 'implied_volatility': '0.19646601067332659', 'price': '415.26', 'realized_volatility': '0.2042383802883177417885337470528488988658275821814880467670'}"
"{'date': '2024-02-13', 'implied_volatility': '0.20634054145391975', 'price': '406.32', 'realized_volatility': '0.1996939484412433616795295741056660517544233295350761372027'}"
"{'date': '2024-02-14', 'implied_volatility': '0.19423364228523954', 'price': '409.49', 'realized_volatility': '0.2045899667110875834777979756891938417122027337940876422567'}"
"{'date': '2024-02-15', 'implied_volatility': '0.20102448258202849', 'price': '406.56', 'realized_volatility': '0.2152794703558354436083935102391872389560344105991742923602'}"
"{'date': '2024-02-16', 'implied_volatility': '0.2008794235307187', 'price': '404.06', 'realized_volatility': '0.2140291501308306998502889695852168260643780376658558424633'}"
"{'date': '2024-02-20', 'implied_volatility': '0.20457315810249072', 'price': '402.79', 'realized_volatility': '0.2155676564185542961483710995774996032390070824497897745607'}"
"{'date': '2024-02-21', 'implied_volatility': '0.21348065101517305', 'price': '402.18', 'realized_volatility': '0.2172747586983703922963324133509429279146430081925391932214'}"
"{'date': '2024-02-22', 'implied_volatility': '0.20004187816269875', 'price': '411.65', 'realized_volatility': '0.2197644872842608663088251677063882088013445135450915020493'}"
"{'date': '2024-02-23', 'implied_volatility': '0.1935312804687753', 'price': '410.34', 'realized_volatility': '0.2049129245863315326575450793256583957404190876909482092254'}"
"{'date': '2024-02-26', 'implied_volatility': '0.19202838420453744', 'price': '407.54', 'realized_volatility': '0.2098697671551718964828273453568630489609474878209170420259'}"
"{'date': '2024-02-27', 'implied_volatility': '0.19458874152885813', 'price': '407.48', 'realized_volatility': '0.2086874878609475533460817069720688205758308624766367221726'}"
"{'date': '2024-02-28', 'implied_volatility': '0.18851941101584174', 'price': '407.72', 'realized_volatility': '0.208692712292824367555074254996247008513999607597342119'}"
"{'date': '2024-02-29', 'implied_volatility': '0.187670655219534', 'price': '413.64', 'realized_volatility': '0.209036562418154672358400252087082187945587537526226916'}"
"{'date': '2024-03-01', 'implied_volatility': '0.18755765778591804', 'price': '415.50', 'realized_volatility': '0.205843974488726222698526283677563382382982449941574459'}"
"{'date': '2024-03-04', 'implied_volatility': '0.19359337350150474', 'price': '414.92', 'realized_volatility': '0.206836648793817249709477790352356912031440037277319514'}"
"{'date': '2024-03-05', 'implied_volatility': '0.21154659822568836', 'price': '402.65', 'realized_volatility': '0.206890196019448224576163510614399843281904855175127771'}"
"{'date': '2024-03-06', 'implied_volatility': '0.2161443061915178', 'price': '402.09', 'realized_volatility': '0.180826632187850602486540044622188510275712143312737775'}"
"{'date': '2024-03-07', 'implied_volatility': '0.21285957754365437', 'price': '409.14', 'realized_volatility': '0.191408831270370963136057530703761423687740563676981452'}"
"{'date': '2024-03-08', 'implied_volatility': '0.21720835154808782', 'price': '406.22', 'realized_volatility': '0.182161145921430435815660240538022013070871554190434923'}"
"{'date': '2024-03-11', 'implied_volatility': '0.2175644786139099', 'price': '404.52', 'realized_volatility': '0.180844102399038218082160675757518989326334978165846877'}"
