data
"{'date': '2023-10-10', 'implied_volatility': '0.37962925', 'price': '45.7980000000000000', 'realized_volatility': '0.423773479848660828697482449278802400790028363646532238'}"
"{'date': '2023-10-11', 'implied_volatility': '0.37431917', 'price': '46.8060000000000000', 'realized_volatility': '0.424683396226691209029889341554354552694550697399390820'}"
"{'date': '2023-10-12', 'implied_volatility': '0.38057184', 'price': '46.9450000000000000', 'realized_volatility': '0.418781687734820841360001379518150191883897264610039248'}"
"{'date': '2023-10-13', 'implied_volatility': '0.39851046', 'price': '45.4610000000000000', 'realized_volatility': '0.430585447744383297662245564615391624763118507082900969'}"
"{'date': '2023-10-16', 'implied_volatility': '0.39334762', 'price': '46.0950000000000000', 'realized_volatility': '0.416736986571880060429903262971388331357078670774594107'}"
"{'date': '2023-10-17', 'implied_volatility': '0.4032387', 'price': '43.9380000000000000', 'realized_volatility': '0.420906632125637484223513712358573202226925156257054241'}"
"{'date': '2023-10-18', 'implied_volatility': '0.42406952', 'price': '42.1960000000000000', 'realized_volatility': '0.390880924708644527855026964054574860705569353952456614'}"
"{'date': '2023-10-19', 'implied_volatility': '0.42007723', 'price': '42.1010000000000000', 'realized_volatility': '0.367239707413075408543635621682310886340174374611497335'}"
"{'date': '2023-10-20', 'implied_volatility': '0.42472053', 'price': '41.3870000000000000', 'realized_volatility': '0.367383453081661033839178114214954506429838790992719552'}"
"{'date': '2023-10-23', 'implied_volatility': '0.5588371942197655', 'price': '42.9750000000000000', 'realized_volatility': '0.370505069616938699913544215960965792748128937962243762'}"
"{'date': '2023-10-24', 'implied_volatility': '0.5509077210494879', 'price': '43.6630000000000000', 'realized_volatility': '0.347534623526708128288464129521315531324982787076865735'}"
"{'date': '2023-10-25', 'implied_volatility': '0.5742494080706211', 'price': '41.7790000000000000', 'realized_volatility': '0.354083954679903857358241723912183461862292603669999449'}"
"{'date': '2023-10-26', 'implied_volatility': '0.591320537987602', 'price': '40.3260000000000000', 'realized_volatility': '0.325771733370310494964421842623194627843170777008115317'}"
"{'date': '2023-10-27', 'implied_volatility': '0.585578330809887', 'price': '40.5000000000000000', 'realized_volatility': '0.302811430222846131663721330092359638295294137131972707'}"
"{'date': '2023-10-30', 'implied_volatility': '0.557260101466462', 'price': '41.1610000000000000', 'realized_volatility': '0.304064125485754418581805162781444897303999112001306780'}"
"{'date': '2023-10-31', 'implied_volatility': '0.550708028780234', 'price': '40.7800000000000000', 'realized_volatility': '0.299829530276794800610378063864866182600014239880755736'}"
"{'date': '2023-11-01', 'implied_volatility': '0.53609156468717', 'price': '42.3250000000000000', 'realized_volatility': '0.314403358714852625020850273186707288031884866502589508'}"
"{'date': '2023-11-02', 'implied_volatility': '0.5246690852681275', 'price': '43.5060000000000000', 'realized_volatility': '0.28661985636274639838293515228246071679777911471113097684'}"
"{'date': '2023-11-03', 'implied_volatility': '0.5166861065348904', 'price': '45.0050000000000000', 'realized_volatility': '0.28638767639077054782959698180633712042648448068500602867'}"
"{'date': '2023-11-06', 'implied_volatility': '0.5133370536061105', 'price': '45.7510000000000000', 'realized_volatility': '0.27286022737928836389507259001531052333231862322775786824'}"
"{'date': '2023-11-07', 'implied_volatility': '0.505244116275806', 'price': '45.9550000000000000', 'realized_volatility': '0.27862937661791998888503072076238817137800309305565193797'}"
"{'date': '2023-11-08', 'implied_volatility': '0.5122260188351695', 'price': '46.5740000000000000', 'realized_volatility': '0.29010368471814089782945286847627186759486676245655457439'}"
"{'date': '2023-11-09', 'implied_volatility': '0.5206988190287165', 'price': '46.9500000000000000', 'realized_volatility': '0.29363845838269834737303482371567658289023123765691165263'}"
"{'date': '2023-11-10', 'implied_volatility': '0.514799403464993', 'price': '48.3350000000000000', 'realized_volatility': '0.29901868999221302347524771471140297489909430555683756380'}"
"{'date': '2023-11-13', 'implied_volatility': '0.505763929726862', 'price': '48.6200000000000000', 'realized_volatility': '0.29176486113696020605324458522789409463186032853007503266'}"
"{'date': '2023-11-14', 'implied_volatility': '0.4988117606710285', 'price': '49.6560000000000000', 'realized_volatility': '0.29276708123344383910555592641856302829237177458118172923'}"
"{'date': '2023-11-15', 'implied_volatility': '0.5043367286541895', 'price': '48.8880000000000000', 'realized_volatility': '0.28377367302675621561738934651013124258740036889542923551'}"
"{'date': '2023-11-16', 'implied_volatility': '0.4999762250072305', 'price': '49.4800000000000000', 'realized_volatility': '0.28123342295044263183498737714821111399932754745136130989'}"
"{'date': '2023-11-17', 'implied_volatility': '0.4950658846710585', 'price': '49.2980000000000000', 'realized_volatility': '0.29003797909514594748985385383252498725736339387796813187'}"
"{'date': '2023-11-20', 'implied_volatility': '0.473581007080777', 'price': '50.4090000000000000', 'realized_volatility': '0.29160978634351206697876611786490805938876950747853688821'}"
"{'date': '2023-11-21', 'implied_volatility': '0.4657043950644265', 'price': '49.9440000000000000', 'realized_volatility': '0.30058352158911776097705298162852121041581706654089489568'}"
"{'date': '2023-11-22', 'implied_volatility': '0.3503088708959585', 'price': '48.7160000000000000', 'realized_volatility': '0.30554423739345637881634454808896683082017704161792006762'}"
